,name,numeric_id,id,barcode
41,Ccr7,41,NM_007719,0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1
42,Cd14,42,NM_009841,1  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0
43,Cd34,43,NM_133654,1  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0
44,Cd3d,44,NM_013487,0  0  0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  0  0  0
45,Cd3e,45,NM_007648,0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0
46,Cd3g,46,NM_009850,0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1
47,Cd4,47,NM_013488,0  0  0  0  1  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0
48,Cd44,48,NM_001039151,0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0  0  0  1
49,Cd52,49,NM_013706,1  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0
50,Cd68,50,NM_001291058,0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0
51,Cd86,51,NM_019388,0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  1
52,Cd8a,52,NM_001081110,0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0
53,Cd8b1,53,NM_009858,1  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0
54,Cdc20,54,NM_023223,0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
55,Cdca3,55,NM_013538,1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0
56,Cdca8,56,NM_026560,0  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0
57,Cdh1,57,NM_009864,1  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0
58,Cdh2,58,NM_007664,1  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  0
59,Cdh5,59,NM_009868,0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1  1  0
60,Cdk1,60,NM_007659,1  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0
61,Cenpa,61,NM_001302129,0  0  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0
62,Cenpe,62,NM_173762,0  0  0  1  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0
63,Cenpf,63,NM_001081363,0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  0
64,Chil1,64,NM_007695,1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0  0  0
65,Ciita,65,NM_001243761,0  0  0  0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  0
66,Ckap2l,66,NM_181589,0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0
67,Cks1b,67,NM_016904,0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0
68,Cks2,68,NM_025415,0  0  1  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0
69,Clca3a2,69,NM_030601,0  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0
70,Col12a1,70,NM_001290308,0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  1
71,Col14a1,71,NM_181277,1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1
72,Col18a1,72,NM_009929,0  0  1  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0
73,Col1a1,73,NM_007742,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  1  0
74,Col1a2,74,NM_007743,0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0
75,Col3a1,75,NM_009930,0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0
76,Col4a1,76,NM_009931,1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
77,Col4a2,77,NM_009932,0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  1  0  0
78,Col5a1,78,NM_015734,0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0
79,Col5a2,79,NM_007737,0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0
80,Col6a1,80,NM_009933,0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1
81,Coro1a,81,NM_009898,0  1  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0
82,Cp,82,NM_007752,1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0
83,Crip2,83,NM_024223,1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0
84,Crlf1,84,NM_018827,0  0  0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  0  0
85,Ctla2a,85,NM_007796,0  1  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0
86,Ctsc,86,NM_009982,0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1
87,Ctsk,87,NM_007802,0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  1  0  0
88,Ctss,88,NM_021281,0  0  0  1  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0
89,Cxcl1,89,NM_008176,0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  1  0  0
90,Cxcl10,90,NM_021274,0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0
91,Cxcl16,91,NM_023158,0  1  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0
92,Cxcl2,92,NM_009140,0  0  1  0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0
93,Cxcl3,93,NM_203320,1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1
94,Cxcl5,94,NM_009141,0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0
95,Cyp51,95,NM_020010,0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0
96,Cytip,96,NM_139200,0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0
97,Dab2,97,NM_023118,0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  1  0  0  0
98,Dcn,98,NM_007833,0  0  1  0  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0
99,Des,99,NM_010043,1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0
100,Dusp2,100,NM_010090,0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  1
101,Ebf1,101,NM_007897,0  1  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0
