version,Harvard mouse cortex,,,,,,,,,,,,,,,,,,,,,
codebook,,,,,,,,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
name,numeric_id,id,barcode,,,,,,,,,,,,,,,,,,,
Il4ra,104,ENSMUST0105,0  0  1  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Inpp4b,105,ENSMUST0106,0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Iqgap2,106,ENSMUST0107,0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Itgb8,107,ENSMUST0108,1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Kcng1,108,ENSMUST0109,0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Kcnj8,109,ENSMUST0110,1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
L3mbtl4,110,ENSMUST0111,0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  0,,,,,,,,,,,,,,,,,,,
Lama3,111,ENSMUST0112,1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Lhx6,112,ENSMUST0113,0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Lmo1,113,ENSMUST0114,0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Lsp1,114,ENSMUST0115,0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Ltf,115,ENSMUST0116,1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Luzp2,116,ENSMUST0117,0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Lypd1,117,ENSMUST0118,0  0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Lyzl4,118,ENSMUST0119,1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
01-Mar,119,ENSMUST0120,0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Marcksl1,120,ENSMUST0121,0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Meis2,121,ENSMUST0122,1  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Moxd1,122,ENSMUST0123,0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0,,,,,,,,,,,,,,,,,,,
Mrc1,123,ENSMUST0124,0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Mrgprx2,124,ENSMUST0125,0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Muc20,125,ENSMUST0126,0  0  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Myh14,126,ENSMUST0127,0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Ndst4,127,ENSMUST0128,0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Nhs,128,ENSMUST0129,0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Nkain3,129,ENSMUST0130,0  0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Nnmt,130,ENSMUST0131,1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Nos1,131,ENSMUST0132,0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Npas1,132,ENSMUST0133,0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Npnt,133,ENSMUST0134,1  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Npsr1,134,ENSMUST0135,0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Npy2r,135,ENSMUST0136,0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Nr2f2,136,ENSMUST0137,0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1,,,,,,,,,,,,,,,,,,,
Nr4a1,137,ENSMUST0138,0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Nr4a2,138,ENSMUST0139,0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Ntng2,139,ENSMUST0140,0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0,,,,,,,,,,,,,,,,,,,
Nxph1,140,ENSMUST0141,0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Nxph2,141,ENSMUST0142,0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Nxph4,142,ENSMUST0143,0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Olah,143,ENSMUST0144,0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Olfm3,144,ENSMUST0145,1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Opalin,145,ENSMUST0146,0  0  0  0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Oprk1,146,ENSMUST0147,0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Osr1,147,ENSMUST0148,0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Otof,148,ENSMUST0149,0  1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Parm1,149,ENSMUST0150,0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Pcdh8,150,ENSMUST0151,0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Pde11a,151,ENSMUST0152,0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
