,version,Vancouver XP7049,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
114,Gnptab,ENSMUST00000020251,111,1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0,242,,,,,,,,,,,,,,,,,,
115,Gprasp1,ENSMUST00000113144,112,0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0,81,,,,,,,,,,,,,,,,,,
116,Hecw2,ENSMUST00000087659,113,1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0,11,,,,,,,,,,,,,,,,,,
117,Itga8,ENSMUST00000028106,114,0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0,14,,,,,,,,,,,,,,,,,,
118,Kdm2b,ENSMUST00000046073,115,0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0,316,,,,,,,,,,,,,,,,,,
119,Maml3,ENSMUST00000121440,116,1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0,12,,,,,,,,,,,,,,,,,,
120,Mreg,ENSMUST00000048860,117,0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1,37,,,,,,,,,,,,,,,,,,
121,Nckap5l,ENSMUST00000023747,118,0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0,7,,,,,,,,,,,,,,,,,,
122,Nuak1,ENSMUST00000020220,119,0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0,179,,,,,,,,,,,,,,,,,,
123,Pcdhac2,ENSMUST00000047479,120,1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0,0,,,,,,,,,,,,,,,,,,
124,Pid1,ENSMUST00000168574,121,0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
125,Ppp1r26,ENSMUST00000040324,122,0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0,19,,,,,,,,,,,,,,,,,,
126,Primpol,ENSMUST00000040468,123,0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0,70,,,,,,,,,,,,,,,,,,
127,Rab11fip5,ENSMUST00000204087,124,0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0,200,,,,,,,,,,,,,,,,,,
128,Rab3ip,ENSMUST00000020375,125,0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1,480,,,,,,,,,,,,,,,,,,
129,Rab44,ENSMUST00000132262,126,0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0,0,,,,,,,,,,,,,,,,,,
130,Scarf1,ENSMUST00000042808,127,0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0,0,,,,,,,,,,,,,,,,,,
131,Scube3,ENSMUST00000043503,128,0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0,1,,,,,,,,,,,,,,,,,,
132,Slc35d2,ENSMUST00000099441,129,1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0,21,,,,,,,,,,,,,,,,,,
133,Smg7,ENSMUST00000073441,130,0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1,287,,,,,,,,,,,,,,,,,,
134,Tmem151a,ENSMUST00000077066,131,0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0,3,,,,,,,,,,,,,,,,,,
135,Tnip3,ENSMUST00000114236,132,0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0,8,,,,,,,,,,,,,,,,,,
136,Txlna,ENSMUST00000084264,133,0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1,360,,,,,,,,,,,,,,,,,,
